[2024-02-23 21:21:17] Recieved info from Drone!  7
[2024-02-23 21:21:17] Wrote data to window! 3


[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3

[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3

[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3

[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3


[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3



[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3

[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3


[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3


[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3


[2024-02-23 21:21:18] Recieved info from Drone!  7
[2024-02-23 21:21:18] Wrote data to window! 3


[2024-02-23 21:21:19] Recieved info from Drone!  7
[2024-02-23 21:21:19] Wrote data to window! 3

[2024-02-23 21:21:19] Recieved info from Drone!  7
[2024-02-23 21:21:19] Wrote data to window! 3






[2024-02-23 21:21:19] Recieved info from Drone!  7
[2024-02-23 21:21:19] Wrote data to window! 3



[2024-02-23 21:21:19] Recieved info from Drone!  7
[2024-02-23 21:21:19] Wrote data to window! 3


[2024-02-23 21:21:19] Recieved info from Drone!  7
[2024-02-23 21:21:19] Wrote data to window! 3



[2024-02-23 21:21:19] Recieved info from Drone!  7
[2024-02-23 21:21:19] Wrote data to window! 3


[2024-02-23 21:21:19] Recieved info from Drone!  7
[2024-02-23 21:21:19] Wrote data to window! 3


[2024-02-23 21:21:19] Recieved info from Drone!  7
[2024-02-23 21:21:19] Wrote data to window! 3

[2024-02-23 21:21:19] Recieved info from Drone!  7
[2024-02-23 21:21:19] Wrote data to window! 3



[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3


[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3


[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3




[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3


[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3




[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3


[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3



[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3


[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3



[2024-02-23 21:21:20] Recieved info from Drone!  7
[2024-02-23 21:21:20] Wrote data to window! 3






[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3


[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3

[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3

[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3

[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3

[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3






[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3


[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3




[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3

[2024-02-23 21:21:21] Recieved info from Drone!  7
[2024-02-23 21:21:21] Wrote data to window! 3

[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3








[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3



[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3

[2024-02-23 21:21:22] Recieved info from Drone!  7
[2024-02-23 21:21:22] Wrote data to window! 3

